Title,Platform,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Pac-Man,2600,Atari,7.28,0.45,0,0.08,7.81
Kinect Sports,X360,Microsoft Game Studios,3.92,1.78,0.03,0.51,6.24
Metal Gear Solid,PS,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
Monster Hunter Freedom Unite,PSP,Capcom,0.47,0.57,4.13,0.34,5.5
The Simpsons: Hit & Run,PS2,Vivendi Games,1.73,2.19,0,0.79,4.7
Batman: Arkham Asylum,PS3,Eidos Interactive,2.23,1.34,0.07,0.61,4.25
Super Paper Mario,Wii,Nintendo,1.98,0.88,0.59,0.32,3.76
The Witcher 3: Wild Hunt,PS4,Namco Bandai Games,0.96,2,0.21,0.56,3.73
Batman: Arkham Asylum,X360,Eidos Interactive,2.2,0.97,0.02,0.31,3.5
LEGO Batman: The Videogame,X360,Warner Bros. Interactive Entertainment,2.03,1.03,0,0.32,3.38
The Lord of the Rings: The Return of the King,PS2,Electronic Arts,1.5,1.28,0.05,0.46,3.28
LEGO Batman: The Videogame,Wii,Warner Bros. Interactive Entertainment,1.86,1.02,0,0.29,3.17
LEGO Batman: The Videogame,DS,Warner Bros. Interactive Entertainment,1.79,1.06,0,0.29,3.15
Mass Effect 3,X360,Electronic Arts,1.94,0.86,0.03,0.24,3.07
Tom Clancy's Splinter Cell,XB,Ubisoft,1.85,1.04,0,0.13,3.02
Monster Hunter Tri,3DS,Nintendo,0.46,0.29,1.96,0.07,2.79
Onimusha: Warlords,PS2,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
Tom Clancy's Splinter Cell,PS2,Ubisoft,1.15,1.11,0,0.4,2.65
Harry Potter and the Chamber of Secrets,PS2,Electronic Arts,0.9,1.22,0.04,0.44,2.61
Monster Hunter Freedom 2,PSP,Capcom,0.37,0.27,1.75,0.18,2.58
Marvel: Ultimate Alliance,X360,Activision,2.29,0.02,0,0.19,2.5
Bloodborne,PS4,Sony Computer Entertainment,1,0.76,0.26,0.36,2.38
Kinect Sports: Season Two,X360,Microsoft Game Studios,1.38,0.74,0.02,0.22,2.36
James Bond 007: Everything or Nothing,PS2,Electronic Arts,0.85,1.06,0.09,0.32,2.31
Onimusha 2: Samurai's Destiny,PS2,Capcom,0.62,0.44,1.06,0.13,2.25
Monster Hunter Tri,Wii,Nintendo,0.67,0.41,1.05,0.11,2.25
Mario Sports Mix,Wii,Nintendo,0.9,0.45,0.63,0.13,2.11
Parasite Eve,PS,SquareSoft,0.94,0.07,1.05,0.04,2.1
