"publisher_id","publisher","created_at"
1,"Take-Two Interactive",NULL
2,"Disney Interactive Studios",NULL
3,"Square Enix",NULL
4,"Hudson Soft",NULL
5,"LucasArts",NULL
6,"Capcom",NULL
7,"Vivendi Games",NULL
8,"Electronic Arts",NULL
9,"Konami Digital Entertainment",NULL
10,"Activision",NULL
11,"Warner Bros. Interactive Entertainment",NULL
12,"THQ",NULL
13,"Ubisoft",NULL
14,"Atari",NULL
15,"Tecmo Koei",NULL
16,"Sony Computer Entertainment",NULL
17,"Nintendo",NULL
18,"Microsoft Game Studios",NULL
19,"Virgin Interactive",NULL
20,"Eidos Interactive",NULL
21,"Namco Bandai Games",NULL
22,"SquareSoft",NULL
