sale_id,game_id,platform_id,publisher_id,global_sales,,game_id,title,,,platform_id,platform,platform,,,publisher_id,publisher,publisher,,
161,1,2,14,7.81,,1,Pac-Man,Pac-Man,1,1,PSP,2600,2600,1,1,Take-Two Interactive,Atari,Atari,1
163,2,13,18,6.24,,2,Kinect Sports,Kinect Sports,1,2,2600,X360,X360,1,2,Disney Interactive Studios,Microsoft Game Studios,Microsoft Game Studios,1
164,3,4,9,6.03,,3,Metal Gear Solid,Metal Gear Solid,1,3,PS3,PS,PS,1,3,Square Enix,Konami Digital Entertainment,Konami Digital Entertainment,1
165,4,1,6,5.5,,4,Monster Hunter Freedom Unite,Monster Hunter Freedom Unite,1,4,PS,PSP,PSP,1,4,Hudson Soft,Capcom,Capcom,1
166,5,10,7,4.7,,5,The Simpsons: Hit & Run,The Simpsons: Hit & Run,1,5,PS4,PS2,PS2,1,5,LucasArts,Vivendi Games,Vivendi Games,1
168,6,3,20,4.25,,6,Batman: Arkham Asylum,Batman: Arkham Asylum,1,6,GBA,PS3,PS3,1,6,Capcom,Eidos Interactive,Eidos Interactive,1
170,7,12,17,3.76,,7,Super Paper Mario,Super Paper Mario,1,7,XB,Wii,Wii,1,7,Vivendi Games,Nintendo,Nintendo,1
171,8,5,21,3.73,,8,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,1,8,3DS,PS4,PS4,1,8,Electronic Arts,Namco Bandai Games,Namco Bandai Games,1
169,9,3,20,4.25,,9,Batman: Arkham Asylum,Batman: Arkham Asylum,1,9,XOne,PS3,PS3,1,9,Konami Digital Entertainment,Eidos Interactive,Eidos Interactive,1
173,10,13,11,3.38,,10,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,10,PS2,X360,X360,1,10,Activision,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
179,11,10,8,3.28,,11,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,1,11,NES,PS2,PS2,1,11,Warner Bros. Interactive Entertainment,Electronic Arts,Electronic Arts,1
174,12,13,11,3.38,,12,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,12,Wii,X360,X360,1,12,THQ,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
175,13,13,11,3.38,,13,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,13,X360,X360,X360,1,13,Ubisoft,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
181,14,13,8,3.07,,14,Mass Effect 3,Mass Effect 3,1,14,GC,X360,X360,1,14,Atari,Electronic Arts,Electronic Arts,1
183,15,7,13,3.02,,15,Tom Clancy's Splinter Cell,Tom Clancy's Splinter Cell,1,15,PC,XB,XB,1,15,Tecmo Koei,Ubisoft,Ubisoft,1
185,16,8,17,2.79,,16,Monster Hunter Tri,Monster Hunter Tri,1,16,WiiU,3DS,3DS,1,16,Sony Computer Entertainment,Nintendo,Nintendo,1
187,17,10,19,2.7,,17,Onimusha: Warlords,Onimusha: Warlords,1,17,DS,PS2,PS2,1,17,Nintendo,Virgin Interactive,Virgin Interactive,1
