"sale_id","game_id","title","platform_id","platform","publisher_id","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","created_at"
161,1,"Pac-Man",2,"2600",14,"Atari","7.28","0.45","0","0.08","7.81","2025-05-04 16:28:08.174447"
163,2,"Kinect Sports",13,"X360",18,"Microsoft Game Studios","3.92","1.78","0.03","0.51","6.24","2025-05-04 16:28:08.174447"
164,3,"Metal Gear Solid",4,"PS",9,"Konami Digital Entertainment","3.18","1.83","0.78","0.24","6.03","2025-05-04 16:28:08.174447"
165,4,"Monster Hunter Freedom Unite",1,"PSP",6,"Capcom","0.47","0.57","4.13","0.34","5.5","2025-05-04 16:28:08.174447"
166,5,"The Simpsons: Hit & Run",10,"PS2",7,"Vivendi Games","1.73","2.19","0","0.79","4.7","2025-05-04 16:28:08.174447"
168,6,"Batman: Arkham Asylum",3,"PS3",20,"Eidos Interactive","2.23","1.34","0.07","0.61","4.25","2025-05-04 16:28:08.174447"
170,7,"Super Paper Mario",12,"Wii",17,"Nintendo","1.98","0.88","0.59","0.32","3.76","2025-05-04 16:28:08.174447"
171,8,"The Witcher 3: Wild Hunt",5,"PS4",21,"Namco Bandai Games","0.96","2","0.21","0.56","3.73","2025-05-04 16:28:08.174447"
169,9,"Batman: Arkham Asylum",3,"PS3",20,"Eidos Interactive","2.23","1.34","0.07","0.61","4.25","2025-05-04 16:28:08.174447"
173,10,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
179,11,"The Lord of the Rings: The Return of the King",10,"PS2",8,"Electronic Arts","1.5","1.28","0.05","0.46","3.28","2025-05-04 16:28:08.174447"
174,12,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
175,13,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
181,14,"Mass Effect 3",13,"X360",8,"Electronic Arts","1.94","0.86","0.03","0.24","3.07","2025-05-04 16:28:08.174447"
183,15,"Tom Clancy's Splinter Cell",7,"XB",13,"Ubisoft","1.85","1.04","0","0.13","3.02","2025-05-04 16:28:08.174447"
185,16,"Monster Hunter Tri",8,"3DS",17,"Nintendo","0.46","0.29","1.96","0.07","2.79","2025-05-04 16:28:08.174447"
187,17,"Onimusha: Warlords",10,"PS2",19,"Virgin Interactive","0.99","0.48","1.09","0.14","2.7","2025-05-04 16:28:08.174447"
184,18,"Tom Clancy's Splinter Cell",7,"XB",13,"Ubisoft","1.85","1.04","0","0.13","3.02","2025-05-04 16:28:08.174447"
188,19,"Harry Potter and the Chamber of Secrets",10,"PS2",8,"Electronic Arts","0.9","1.22","0.04","0.44","2.61","2025-05-04 16:28:08.174447"
191,20,"Monster Hunter Freedom 2",1,"PSP",6,"Capcom","0.37","0.27","1.75","0.18","2.58","2025-05-04 16:28:08.174447"
192,21,"Marvel: Ultimate Alliance",13,"X360",10,"Activision","2.29","0.02","0","0.19","2.5","2025-05-04 16:28:08.174447"
193,22,"Bloodborne",5,"PS4",16,"Sony Computer Entertainment","1","0.76","0.26","0.36","2.38","2025-05-04 16:28:08.174447"
194,23,"Kinect Sports: Season Two",13,"X360",18,"Microsoft Game Studios","1.38","0.74","0.02","0.22","2.36","2025-05-04 16:28:08.174447"
195,24,"James Bond 007: Everything or Nothing",10,"PS2",8,"Electronic Arts","0.85","1.06","0.09","0.32","2.31","2025-05-04 16:28:08.174447"
196,25,"Onimusha 2: Samurai's Destiny",10,"PS2",6,"Capcom","0.62","0.44","1.06","0.13","2.25","2025-05-04 16:28:08.174447"
186,26,"Monster Hunter Tri",8,"3DS",17,"Nintendo","0.46","0.29","1.96","0.07","2.79","2025-05-04 16:28:08.174447"
